level_0,level_1,level_2,no_aud_data_Fz
3,0,11,-1.0045450075799319e-06
3,0,12,-1.621089928958042e-06
3,0,13,-1.835966604704005e-06
3,0,14,-2.0999783686475394e-06
3,0,15,-2.4692117589943926e-06
3,0,16,-2.5196050421811455e-06
3,0,17,-1.717188231972988e-06
3,0,18,-1.127845183399236e-07
3,0,19,1.661193916531375e-06
3,0,20,2.7827522404482916e-06
3,0,21,2.9638480996797503e-06
3,0,22,2.455762514942046e-06
3,0,23,1.732655826697585e-06
3,0,24,9.065134825980901e-07
3,0,25,-1.7768243461537074e-07
3,0,26,-1.6585161821905137e-06
3,0,27,-3.1563661211420383e-06
3,0,28,-4.005452925071349e-06
3,0,29,-3.636820165034497e-06
3,0,30,-2.2210119244746773e-06
3,0,31,-5.72787857331201e-07
3,0,32,2.0408176928292565e-07
3,0,33,-4.5117640856194536e-07
3,0,34,-2.283952232956174e-06
3,0,35,-4.237590173423702e-06
3,0,36,-5.2535718042004366e-06
4,0,0,-4.6472515133614867e-07
4,0,1,-3.9567153770138464e-07
4,0,2,-1.0020424419212424e-06
4,0,3,-1.6181127889568957e-06
4,0,4,-1.3807821438810918e-06
4,0,5,-2.0284842623684068e-07
4,0,6,1.146894481999624e-06
4,0,7,1.699697375304678e-06
4,0,8,1.2207560030227488e-06
4,0,9,2.8105712736291017e-07
4,0,10,-3.4496607045359634e-07
4,0,11,-4.956934463929804e-07
4,0,12,-5.475178649890336e-07
4,0,13,-8.479189217653615e-07
4,0,14,-1.1420256839400722e-06
4,0,15,-9.532529617154944e-07
4,0,16,-2.3895254700164375e-07
4,0,17,2.5387026122135494e-07
4,0,18,-2.3462307930828e-07
4,0,19,-1.588259716319996e-06
4,0,20,-2.607486606139955e-06
4,0,21,-2.1907117442357236e-06
4,0,22,-4.841440458514771e-07
4,0,23,9.831289536192203e-07
4,0,24,7.959526674684533e-07
4,0,25,-9.504389850662775e-07
4,0,26,-2.520556373653376e-06
4,0,27,-2.2118067465619253e-06
4,0,28,1.2272427239687608e-07
4,0,29,2.88476207721391e-06
4,0,30,4.3790628039883485e-06
4,0,31,4.288882764984968e-06
4,0,32,3.7910122610919134e-06
4,0,33,3.952322062791467e-06
4,0,34,4.507704283109184e-06
4,0,35,4.028606841534105e-06
4,0,36,1.641978839781751e-06
5,0,0,1.516925408262346e-06
5,0,1,3.32574204957287e-06
5,0,2,3.402895577667587e-06
5,0,3,2.1689860982739153e-06
5,0,4,7.775152996499041e-07
5,0,5,3.775269589690666e-07
5,0,6,1.2592002536900842e-06
5,0,7,2.665011055490632e-06
5,0,8,3.431478086187177e-06
5,0,9,3.000555852087115e-06
5,0,10,1.793300024820771e-06
5,0,11,7.364037283561979e-07
5,0,12,3.433544912927754e-07
5,0,13,4.0022301305475935e-07
5,0,14,4.604901801437072e-07
5,0,15,6.52105664525242e-07
5,0,16,1.719135823956386e-06
5,0,17,4.226214941120183e-06
5,0,18,7.596616455396508e-06
5,0,19,1.0197292583209163e-05
5,0,20,1.0514837933692526e-05
5,0,21,8.526409637576483e-06
5,0,22,5.842807236811998e-06
5,0,23,4.4388126050084835e-06
5,0,24,4.959945800932247e-06
5,0,25,6.251880497466853e-06
5,0,26,6.448268782740737e-06
5,0,27,4.676508321263019e-06
5,0,28,1.73045084770975e-06
5,0,29,-7.113685220747918e-07
5,0,30,-1.5780942938868034e-06
