level_0,level_1,level_2,control_data_Oz
5,0,2,-1.677074494616307e-05
5,0,3,-1.585471205522808e-05
5,0,4,-1.4701554246921897e-05
5,0,5,-1.2719187551184555e-05
5,0,6,-9.327109139863163e-06
5,0,7,-4.996906574769415e-06
5,0,8,-1.4009064424976266e-06
5,0,9,-1.0317270533994959e-07
5,0,10,-1.3385905021382009e-06
5,0,11,-3.835426889818003e-06
5,0,12,-6.2014202754690525e-06
5,0,13,-8.028400162890927e-06
5,0,14,-9.902857129644334e-06
5,0,15,-1.2135788891858067e-05
5,0,16,-1.4121328632758236e-05
5,0,17,-1.4627847340000378e-05
5,0,18,-1.3055186913239758e-05
5,0,19,-9.79340271483589e-06
5,0,20,-5.7414491439593816e-06
5,0,21,-1.35994825748766e-06
5,0,22,3.2239041073084482e-06
5,0,23,7.557589673364007e-06
5,0,24,1.0362279290143835e-05
5,0,25,1.0609313334337446e-05
5,0,26,8.70775342506734e-06
5,0,27,6.834507905274746e-06
5,0,28,7.182183724283183e-06
5,0,29,1.0038561744724387e-05
5,0,30,1.3296290324293675e-05
5,0,31,1.4508255333297031e-05
5,0,32,1.2923537189398512e-05
5,0,33,1.0075056493469422e-05
5,0,34,7.868211950074313e-06
5,0,35,6.704072538777403e-06
5,0,36,5.19349785926376e-06
6,0,0,8.287248907234502e-06
6,0,1,1.1314574826772506e-05
6,0,2,1.3165979376673388e-05
6,0,3,1.2939991040192408e-05
6,0,4,1.1017324305164801e-05
6,0,5,8.667315107236653e-06
6,0,6,7.225138795890118e-06
6,0,7,7.026956987037612e-06
6,0,8,7.3384443751211355e-06
6,0,9,6.997059349159662e-06
6,0,10,5.573337413182852e-06
6,0,11,3.585473731386083e-06
6,0,12,1.9721547071747248e-06
6,0,13,1.0006849301091476e-06
6,0,14,1.7631491836140738e-07
6,0,15,-1.2215931929082058e-06
6,0,16,-3.224012519078515e-06
6,0,17,-5.235864669688822e-06
6,0,18,-6.437012148548097e-06
6,0,19,-6.431832394245376e-06
6,0,20,-5.041444167181016e-06
6,0,21,-2.182505009621456e-06
6,0,22,2.1251859241774997e-06
6,0,23,6.9068993190400186e-06
6,0,24,1.0183688725055211e-05
6,0,25,9.821789136294857e-06
6,0,26,5.521244830069985e-06
6,0,27,-4.0125756329344205e-07
6,0,28,-3.999446985769226e-06
6,0,29,-2.567658559263252e-06
6,0,30,3.3845565262277644e-06
6,0,31,1.0207767051946624e-05
6,0,32,1.383352521465756e-05
6,0,33,1.2415343556688627e-05
6,0,34,7.4834469365749035e-06
6,0,35,2.4135474082354996e-06
6,0,36,2.849639755994301e-07
7,0,0,-3.148249381029852e-07
7,0,1,-5.407130710037043e-07
7,0,2,-2.0474067546681106e-07
7,0,3,1.1568593608480873e-06
7,0,4,3.877666007185034e-06
7,0,5,7.576832398752977e-06
7,0,6,1.1156140847362812e-05
7,0,7,1.3359546045542446e-05
7,0,8,1.3699979376233804e-05
7,0,9,1.2738595440813828e-05
7,0,10,1.1620618343287977e-05
7,0,11,1.0958371585313177e-05
7,0,12,1.039021169184091e-05
7,0,13,8.944089628621407e-06
7,0,14,6.136926913811666e-06
7,0,15,2.51160021539368e-06
7,0,16,-6.075094551792379e-07
7,0,17,-2.2693235561569932e-06
7,0,18,-2.4850786218990175e-06
7,0,19,-2.031841207362673e-06
7,0,20,-1.4116712219482187e-06
7,0,21,-4.873871675821203e-07
7,0,22,1.2452274135301246e-06
7,0,23,3.5736073719362888e-06
7,0,24,5.480936024286761e-06
7,0,25,5.7139591204918405e-06
7,0,26,4.101475921923866e-06
7,0,27,1.7085020117448008e-06
7,0,28,2.8968982382710056e-07
7,0,29,7.833839052500132e-07
7,0,30,2.826110763910945e-06
7,0,31,4.961877203909712e-06
7,0,32,6.091521663441644e-06
7,0,33,6.156211839755427e-06
7,0,34,6.303848297904778e-06
7,0,35,7.685408605464302e-06
7,0,36,1.0643696600151382e-05
8,0,0,-3.810972759710218e-06
8,0,1,-8.397904946460833e-07
8,0,2,7.267513973666562e-07
8,0,3,2.4451146965118447e-07
8,0,4,-1.1649422222821277e-06
8,0,5,-1.7428681790580884e-06
8,0,6,-9.545991048436476e-07
8,0,7,9.943945690721743e-08
8,0,8,-3.9226825395137255e-07
8,0,9,-3.0493584290167635e-06
8,0,10,-6.744561788312147e-06
8,0,11,-9.36325682542483e-06
8,0,12,-9.799735708437645e-06
