level_0,level_1,level_2,no_aud_data_Oz
4,0,23,-4.483634687367039e-06
4,0,24,-5.3874574298498385e-06
4,0,25,-2.291332418773154e-06
4,0,26,7.575037783780697e-07
4,0,27,-2.99397275880733e-09
4,0,28,-3.977345536591045e-06
4,0,29,-6.480105463351762e-06
4,0,30,-4.131725716155591e-06
4,0,31,1.5135837427792973e-06
4,0,32,5.1838703120052104e-06
4,0,33,3.779903328841042e-06
4,0,34,-5.358329952096825e-07
4,0,35,-2.251625334693589e-06
4,0,36,1.331160294111878e-06
5,0,0,5.068608591540471e-06
5,0,1,-1.8814146013256471e-06
5,0,2,-6.339199993691592e-06
5,0,3,-5.206832870779861e-06
5,0,4,3.341542019141183e-07
5,0,5,5.524664530199609e-06
5,0,6,6.173450766387592e-06
5,0,7,1.8417455341251829e-06
5,0,8,-3.7592130516631603e-06
5,0,9,-6.374208991869672e-06
5,0,10,-4.387738292178895e-06
5,0,11,1.0609764034443625e-07
5,0,12,3.9977353167149835e-06
5,0,13,5.719261110884302e-06
5,0,14,6.255263817807864e-06
5,0,15,6.8675691295704846e-06
5,0,16,7.418321294191423e-06
5,0,17,6.034117631191277e-06
5,0,18,1.7547012510013018e-06
5,0,19,-3.873144363258322e-06
5,0,20,-7.017114799026246e-06
5,0,21,-5.088515975667401e-06
5,0,22,9.196031124399971e-07
5,0,23,6.283456698791409e-06
5,0,24,6.6206806045313255e-06
5,0,25,1.3479002719432153e-06
5,0,26,-5.186383427802598e-06
5,0,27,-7.510982070980325e-06
5,0,28,-3.0724324918435133e-06
5,0,29,5.237426454013979e-06
5,0,30,1.1903490844840045e-05
5,0,31,1.2847902153680503e-05
5,0,32,8.864188698890635e-06
5,0,33,3.786034050818108e-06
5,0,34,1.1813599661358252e-06
5,0,35,9.059520515103197e-07
5,0,36,5.086383301509434e-07
6,0,0,-1.1107373013131288e-05
6,0,1,-1.0467323746976608e-05
6,0,2,-1.0075584728000083e-05
6,0,3,-1.0212850036011635e-05
6,0,4,-1.0366841315635907e-05
6,0,5,-9.78102267277088e-06
6,0,6,-8.297007421732058e-06
6,0,7,-6.487632441615795e-06
6,0,8,-5.140899233291286e-06
6,0,9,-4.567181599512607e-06
6,0,10,-4.557924398502139e-06
6,0,11,-4.706329197786996e-06
6,0,12,-4.804470225932563e-06
6,0,13,-4.842382695039848e-06
6,0,14,-5.0522955305285075e-06
