level_0,level_1,level_2,control_data_Fz
18,0,9,-3.30566549942889e-06
18,0,10,-2.3126289651282717e-06
18,0,11,-1.9859590179639345e-06
18,0,12,-2.3299064543363663e-06
18,0,13,-3.03245310504618e-06
18,0,14,-3.8992559565353155e-06
18,0,15,-4.885855814836632e-06
18,0,16,-5.807199791111234e-06
18,0,17,-6.271642726237217e-06
18,0,18,-6.053585547471761e-06
18,0,19,-5.444478382926111e-06
18,0,20,-5.0476149069255565e-06
18,0,21,-5.171174493375039e-06
18,0,22,-5.47481803523571e-06
18,0,23,-5.3423817803646505e-06
18,0,24,-4.6043384604104e-06
18,0,25,-3.771282046535529e-06
18,0,26,-3.483009329161745e-06
18,0,27,-3.7592414278982784e-06
18,0,28,-3.9454357326049086e-06
18,0,29,-3.4517649115093404e-06
18,0,30,-2.5104806273991144e-06
18,0,31,-1.955175896031143e-06
18,0,32,-2.235284988840166e-06
18,0,33,-2.7065418583733673e-06
18,0,34,-2.1194029929795744e-06
18,0,35,1.0655354730786102e-07
18,0,36,3.0796618834366923e-06
19,0,0,3.0991646333647737e-07
19,0,1,1.838017697186007e-06
19,0,2,3.6874928449977978e-06
19,0,3,5.006296562008321e-06
19,0,4,5.0759427569248554e-06
19,0,5,3.7561957119955965e-06
19,0,6,1.7489157732181735e-06
19,0,7,1.842219289922396e-07
19,0,8,-6.548077164810543e-08
19,0,9,9.346306936213196e-07
19,0,10,2.3143773777690134e-06
19,0,11,3.076377516120709e-06
19,0,12,2.9319846799240952e-06
19,0,13,2.334293129247324e-06
19,0,14,2.005838207754689e-06
19,0,15,2.2301177855645158e-06
19,0,16,2.824466943162466e-06
19,0,17,3.4190351070878663e-06
19,0,18,3.928307036732241e-06
19,0,19,4.415441137409822e-06
19,0,20,4.906079703124495e-06
19,0,21,5.1883530295581065e-06
19,0,22,5.1342813859446914e-06
19,0,23,4.8127735488855984e-06
19,0,24,4.4501445453635526e-06
19,0,25,3.944588447328111e-06
19,0,26,2.8981858554142276e-06
19,0,27,9.755656865160454e-07
19,0,28,-1.3457495897898852e-06
19,0,29,-2.873299169619834e-06
19,0,30,-2.459038151108762e-06
19,0,31,-1.8675234792658596e-07
19,0,32,2.580736911370689e-06
19,0,33,4.146837880345439e-06
19,0,34,4.015999425790263e-06
19,0,35,3.1423486247915563e-06
19,0,36,2.951981740229956e-06
20,0,0,2.069142677920202e-06
20,0,1,1.6778527674341052e-06
20,0,2,1.755185284088798e-06
20,0,3,2.372116285973564e-06
20,0,4,3.3577158819869657e-06
20,0,5,4.217884697123574e-06
20,0,6,4.335435433887845e-06
20,0,7,3.3871922419127776e-06
20,0,8,1.6885231413332465e-06
20,0,9,1.4974678147468806e-07
20,0,10,-2.5922197823737663e-07
20,0,11,8.30770217008957e-07
20,0,12,2.8227330824371694e-06
20,0,13,4.535076072263733e-06
20,0,14,5.031616531085096e-06
20,0,15,4.3293199914219965e-06
20,0,16,3.2761352974159308e-06
20,0,17,2.7915041261949254e-06
20,0,18,3.104051985116518e-06
20,0,19,3.7573995192008013e-06
20,0,20,4.260874693327578e-06
20,0,21,4.759466608428829e-06
20,0,22,5.882419369643283e-06
20,0,23,8.005084356368843e-06
20,0,24,1.0564670240538867e-05
20,0,25,1.222604205423656e-05
20,0,26,1.175920714800927e-05
20,0,27,9.007289324995714e-06
20,0,28,5.0517396473585005e-06
20,0,29,1.6075853876270035e-06
20,0,30,-4.5071883608632315e-08
20,0,31,2.751261531626977e-07
20,0,32,1.63071147355147e-06
20,0,33,2.704886577991475e-06
20,0,34,2.6705156813056676e-06
20,0,35,1.7513348472619961e-06
20,0,36,8.888904763476433e-07
21,0,0,2.2576454621132713e-06
21,0,1,3.0559699099003503e-06
21,0,2,5.09044228547446e-06
21,0,3,6.721405325264189e-06
21,0,4,6.7246118398325404e-06
21,0,5,5.179128934155276e-06
