level_0,level_1,level_2,no_vis_data_Oz
6,0,22,6.11515688450775e-07
6,0,23,-1.6567826852631034e-06
6,0,24,-6.768704871227291e-06
6,0,25,-1.3115974629629022e-05
6,0,26,-1.7792245754670285e-05
6,0,27,-1.835761386316439e-05
6,0,28,-1.4486433280895398e-05
6,0,29,-8.074228510202518e-06
6,0,30,-2.0887582961424554e-06
6,0,31,1.1638931201279998e-06
6,0,32,1.0834321235515305e-06
6,0,33,-1.099881972568679e-06
6,0,34,-3.3224038401697396e-06
6,0,35,-4.026600496192097e-06
6,0,36,-3.261202121786059e-06
7,0,0,-5.3742533855727435e-06
7,0,1,-7.516368462482368e-06
7,0,2,-5.0969157050602604e-06
7,0,3,5.248089642904869e-07
7,0,4,4.976526617188402e-06
7,0,5,4.720378708351458e-06
7,0,6,1.6930472636330578e-07
7,0,7,-4.771611273261513e-06
7,0,8,-6.2424632253864874e-06
7,0,9,-3.4961584399580343e-06
7,0,10,1.1725207688965202e-06
7,0,11,5.087217581011802e-06
7,0,12,7.374715024368315e-06
7,0,13,8.609070338071439e-06
7,0,14,8.80539677770468e-06
7,0,15,6.85329806609337e-06
7,0,16,2.063955829558701e-06
7,0,17,-3.7308855654617475e-06
7,0,18,-6.680896430643593e-06
7,0,19,-4.127147319758643e-06
7,0,20,2.289462497638445e-06
7,0,21,7.294944334280777e-06
7,0,22,6.206276249653118e-06
7,0,23,-6.734711960545173e-07
7,0,24,-8.033658497537052e-06
7,0,25,-9.950786773546213e-06
7,0,26,-5.074253643339553e-06
7,0,27,2.3570672407169596e-06
7,0,28,6.290865806540336e-06
7,0,29,4.127222989718958e-06
7,0,30,-1.504946362417323e-06
7,0,31,-5.603676337896679e-06
7,0,32,-5.328787744753624e-06
7,0,33,-1.682585959831602e-06
7,0,34,2.4092405869605474e-06
7,0,35,5.351036895873574e-06
7,0,36,7.728545576014302e-06
8,0,0,1.2031491675883405e-05
8,0,1,1.039334399164049e-05
8,0,2,7.404583558415375e-06
8,0,3,5.844908897200172e-06
8,0,4,7.258935619511612e-06
8,0,5,1.1062839058698548e-05
8,0,6,1.4762305583522549e-05
8,0,7,1.552299386669686e-05
8,0,8,1.1882020221196414e-05
8,0,9,4.869124022457733e-06
8,0,10,-2.7431031821315645e-06
8,0,11,-8.154654764080862e-06
8,0,12,-1.0216573871174063e-05
8,0,13,-9.497896967890066e-06
8,0,14,-7.238686629169606e-06
8,0,15,-4.067560500191494e-06
8,0,16,-9.379809424607443e-08
8,0,17,4.260168925428485e-06
8,0,18,7.685119022346942e-06
8,0,19,8.783152719755137e-06
8,0,20,7.275883507834873e-06
8,0,21,4.474134833166521e-06
8,0,22,2.2109920211959368e-06
8,0,23,1.4495204811727883e-06
8,0,24,1.7218674003843944e-06
8,0,25,1.994975566672728e-06
8,0,26,1.7500160799247742e-06
8,0,27,1.278720647815643e-06
8,0,28,1.0335389715087351e-06
8,0,29,1.0691844340885996e-06
8,0,30,1.1809938945129067e-06
8,0,31,1.3846728713237826e-06
8,0,32,1.7825034130551426e-06
8,0,33,2.1401554795959845e-06
8,0,34,1.8222952620421758e-06
8,0,35,6.800729453446502e-07
8,0,36,-1.9076831279157704e-07
9,0,0,-1.3904263348929314e-06
9,0,1,-2.368690765077762e-06
9,0,2,-3.76857357127329e-06
9,0,3,-4.883825822632026e-06
9,0,4,-5.32902312198595e-06
9,0,5,-5.508950280508216e-06
9,0,6,-6.100763221143009e-06
9,0,7,-7.337628740260432e-06
9,0,8,-8.57207864141395e-06
9,0,9,-8.792251304887253e-06
9,0,10,-7.343313446029102e-06
9,0,11,-4.307910485823235e-06
9,0,12,-3.1248728657355207e-07
9,0,13,3.6460122462233483e-06
9,0,14,6.411253803018536e-06
9,0,15,6.828285506230375e-06
9,0,16,4.495157985410212e-06
9,0,17,4.5664074376109223e-07
9,0,18,-2.8964843727007967e-06
9,0,19,-3.3602304529758975e-06
9,0,20,-7.230473437142859e-07
9,0,21,2.7654392809462993e-06
9,0,22,4.119346765484239e-06
9,0,23,2.1811813310127713e-06
9,0,24,-1.2644697751212084e-06
9,0,25,-3.1466952819350397e-06
9,0,26,-1.955167346780819e-06
9,0,27,6.729502374815788e-07
9,0,28,1.40344365990497e-06
9,0,29,-1.6219581326132917e-06
9,0,30,-6.8702350404800465e-06
9,0,31,-1.0613204516527494e-05
9,0,32,-1.0068250562615699e-05
9,0,33,-5.6485198843305156e-06
9,0,34,-3.9355978192187046e-07
9,0,35,2.598336725505895e-06
9,0,36,2.394151160138583e-06
10,0,0,-5.335855973883247e-06
10,0,1,-6.651179236517163e-06
10,0,2,-3.324788535313323e-06
10,0,3,6.006634156085686e-07
10,0,4,7.287117677508044e-07
10,0,5,-3.3024149653163167e-06
10,0,6,-7.483875490484765e-06
10,0,7,-7.5096847677183845e-06
10,0,8,-3.0424037048276128e-06
10,0,9,2.014724516820248e-06
10,0,10,3.399903340054166e-06
10,0,11,6.219662374772221e-07
10,0,12,-2.720673405361151e-06
10,0,13,-2.620583875737471e-06
10,0,14,1.664757134927077e-06
10,0,15,7.241193196605043e-06
10,0,16,1.0459845517629316e-05
10,0,17,9.871520307328852e-06
10,0,18,6.729593688085207e-06
10,0,19,3.1959342344291014e-06
10,0,20,8.396829923707318e-07
10,0,21,4.901695847647155e-07
10,0,22,2.8098449966241785e-06
10,0,23,7.79483246125031e-06
10,0,24,1.3584282917295139e-05
10,0,25,1.6311333699600152e-05
10,0,26,1.2693452488719706e-05
10,0,27,3.353371043832913e-06
10,0,28,-6.278416642876961e-06
10,0,29,-9.608920079183503e-06
10,0,30,-4.1800333460611594e-06
10,0,31,5.725348540912918e-06
10,0,32,1.2469156540005004e-05
10,0,33,1.1435654766830125e-05
10,0,34,4.978027283468689e-06
10,0,35,8.206532820127751e-08
10,0,36,2.127125512607403e-06
11,0,0,-9.454471869414251e-06
11,0,1,-5.522114307017836e-06
11,0,2,-1.3427892754409724e-06
11,0,3,-1.0779962555369733e-06
11,0,4,-4.946624249937932e-06
11,0,5,-9.570062826965938e-06
11,0,6,-1.1001248076576708e-05
11,0,7,-8.02021543804877e-06
11,0,8,-2.274548785195481e-06
11,0,9,3.5917983576364563e-06
11,0,10,8.271476086083441e-06
11,0,11,1.1626254300139906e-05
11,0,12,1.3608437641742638e-05
11,0,13,1.3164490715723343e-05
11,0,14,9.583470961857152e-06
11,0,15,3.820194672325732e-06
11,0,16,-1.094529141421631e-06
11,0,17,-2.50124325337344e-06
11,0,18,-2.7969659148088693e-07
11,0,19,2.4651399511538806e-06
11,0,20,2.248928319064763e-06
11,0,21,-1.8138458742378592e-06
11,0,22,-6.726491219712289e-06
11,0,23,-8.497152283978122e-06
11,0,24,-5.236814909767394e-06
11,0,25,9.976244803920774e-07
11,0,26,6.461130493206984e-06
11,0,27,8.468314753140355e-06
11,0,28,7.4839919058083265e-06
11,0,29,5.794351541166774e-06
11,0,30,5.6391273505064065e-06
11,0,31,7.0094022838402864e-06
11,0,32,8.256187843716707e-06
11,0,33,7.050188392450113e-06
11,0,34,2.55611397904374e-06
11,0,35,-4.140807202787059e-06
11,0,36,-9.841477877892222e-06
12,0,0,-2.9541798070579546e-06
