level_0,level_1,level_2,no_vis_no_aud_data_Fz
3,0,27,5.003649295740423e-07
3,0,28,1.0471215474863486e-06
3,0,29,1.4407549530054246e-06
3,0,30,1.7550002928637008e-06
3,0,31,1.983102113164154e-06
3,0,32,1.7322190873352857e-06
3,0,33,7.446483434253589e-07
3,0,34,-9.68272357444379e-07
3,0,35,-2.8067568982677625e-06
3,0,36,-4.193537887392198e-06
4,0,0,3.761719255300711e-06
4,0,1,4.196869912231264e-06
4,0,2,5.42597562243753e-06
4,0,3,7.734551879114311e-06
4,0,4,1.0725250627476729e-05
4,0,5,1.3237595173345431e-05
4,0,6,1.4211690206906795e-05
4,0,7,1.3528279870704259e-05
4,0,8,1.2242798584871715e-05
4,0,9,1.1642326890749137e-05
4,0,10,1.2286257880348827e-05
4,0,11,1.3522284481540833e-05
4,0,12,1.4284435232217387e-05
4,0,13,1.3937881365889775e-05
4,0,14,1.287153155398043e-05
4,0,15,1.187922479823939e-05
4,0,16,1.1491405337688031e-05
4,0,17,1.1374763004245428e-05
4,0,18,1.0907757113011657e-05
4,0,19,9.70970082479083e-06
4,0,20,8.177455432796185e-06
4,0,21,6.9268463571365364e-06
4,0,22,6.381970255972373e-06
4,0,23,6.2739521152183715e-06
4,0,24,6.249309174007685e-06
4,0,25,6.1618274239257326e-06
4,0,26,6.454763302603933e-06
4,0,27,7.370731437515189e-06
4,0,28,8.640694560716963e-06
4,0,29,9.209662813092212e-06
4,0,30,8.302430920618486e-06
4,0,31,5.910970227746779e-06
4,0,32,3.1867243271438298e-06
4,0,33,1.2713214535591127e-06
4,0,34,6.513612431007481e-07
4,0,35,5.759981917773568e-07
4,0,36,1.4392943727047156e-07
5,0,0,3.4216380809631278e-06
5,0,1,4.827697265770431e-06
5,0,2,4.962573513063765e-06
5,0,3,3.7379647085279547e-06
5,0,4,2.6520720379735827e-06
5,0,5,3.386598159964727e-06
5,0,6,6.289930845972981e-06
5,0,7,9.902759631810851e-06
5,0,8,1.2258895913737204e-05
5,0,9,1.2502688518765395e-05
5,0,10,1.1629549581392473e-05
5,0,11,1.1385417189138636e-05
5,0,12,1.2729175985946146e-05
5,0,13,1.4999677883456315e-05
5,0,14,1.684932965514182e-05
5,0,15,1.752637643872017e-05
5,0,16,1.757653398087671e-05
5,0,17,1.7950513842243903e-05
5,0,18,1.8938249841343605e-05
5,0,19,1.9694914519897315e-05
5,0,20,1.928042067073912e-05
5,0,21,1.7612097407033252e-05
5,0,22,1.5832000880792747e-05
5,0,23,1.5198363916178997e-05
5,0,24,1.6078651482014377e-05
5,0,25,1.7466316318103165e-05
5,0,26,1.7933424072745052e-05
5,0,27,1.658451680825303e-05
5,0,28,1.3829511796377772e-05
5,0,29,1.0819022443009872e-05
5,0,30,8.758534516800707e-06
5,0,31,7.96298930296472e-06
5,0,32,7.951989510079688e-06
5,0,33,7.730537005642979e-06
