level_0,level_1,level_2,no_vis_data_Fz
3,0,18,-2.9182029246038255e-06
3,0,19,-3.5540808841961374e-06
3,0,20,-3.8025824890623977e-06
3,0,21,-3.936807901937445e-06
3,0,22,-4.272232463332562e-06
3,0,23,-5.0654522810804055e-06
3,0,24,-6.477112861940455e-06
3,0,25,-8.437538907165286e-06
3,0,26,-1.0524844558348423e-05
3,0,27,-1.2048256210072056e-05
3,0,28,-1.244126342847963e-05
3,0,29,-1.1692750005362553e-05
3,0,30,-1.0372837432395105e-05
3,0,31,-9.209564587662957e-06
3,0,32,-8.572343486275052e-06
3,0,33,-8.334758728375787e-06
3,0,34,-8.163543074034794e-06
3,0,35,-7.886112261263462e-06
3,0,36,-7.567483520675203e-06
4,0,0,-3.1244450394214316e-06
4,0,1,-7.498670695766322e-07
4,0,2,1.8231478223883218e-06
4,0,3,3.4867044242911692e-06
4,0,4,3.5634683248498406e-06
4,0,5,2.202105712130378e-06
4,0,6,3.2560690700369695e-07
4,0,7,-9.557388836208935e-07
4,0,8,-1.0397409978714825e-06
4,0,9,-1.5901066727131432e-07
4,0,10,9.73348884096911e-07
4,0,11,1.7919967188937097e-06
4,0,12,2.2978032917737515e-06
4,0,13,2.80862791079613e-06
4,0,14,3.420981789576549e-06
4,0,15,3.7053211242054935e-06
4,0,16,3.079124190160992e-06
4,0,17,1.4630815021256485e-06
4,0,18,-3.6537836057173897e-07
4,0,19,-1.2745107786773445e-06
4,0,20,-6.724014938450872e-07
4,0,21,8.607819055242094e-07
4,0,22,2.027034163994292e-06
4,0,23,1.897510656898534e-06
4,0,24,8.157858368266124e-07
4,0,25,1.3977821917262764e-07
4,0,26,1.1164906193631232e-06
4,0,27,3.698185956264822e-06
4,0,28,6.5197266911302e-06
4,0,29,7.894111449183693e-06
4,0,30,7.1089213783785145e-06
4,0,31,4.7678350512034816e-06
4,0,32,2.1694115599017445e-06
4,0,33,2.1316314222755397e-07
4,0,34,-9.689820361707475e-07
4,0,35,-1.7172291592351777e-06
4,0,36,-2.198565231102559e-06
5,0,0,1.2363200951366417e-06
5,0,1,4.254867753581268e-07
5,0,2,5.844184302760472e-07
5,0,3,1.6725384079135155e-06
5,0,4,2.953773444819147e-06
5,0,5,3.6136073133141884e-06
5,0,6,3.5549860133368293e-06
5,0,7,3.393047568890043e-06
5,0,8,3.866426835290928e-06
5,0,9,5.022509578601599e-06
5,0,10,6.259168096721813e-06
